wateryear,region,surfdiv,pumping,et,gwstor,model
2000,7,63.83032516,0,468.3094444,-79.5068349,cvhm
2001,7,89.42975398,0,486.5277619,-189.4148519,cvhm
2002,7,96.38653017,0,452.4802749,-94.28175812,cvhm
2003,7,85.57386504,0,499.2442293,-57.66087947,cvhm
1975,8,224.6197279,638.8429484,1447.828216,-47.22138432,cvhm
1976,8,201.4546053,724.778675,1276.67815,-539.3059269,cvhm
1977,8,142.3331787,848.007264,1163.023712,-667.1269117,cvhm
1978,8,172.5257902,729.6429614,1555.462519,285.3172283,cvhm
1979,8,196.288377,793.6893991,1382.267304,-49.05046658,cvhm
1980,8,199.4326401,642.8965204,1476.91576,144.8996596,cvhm
1981,8,199.6083546,802.6072575,1353.190984,-241.7301589,cvhm
1982,8,176.925868,522.910789,1701.660398,552.7781501,cvhm
1983,8,167.8198988,458.8643513,1656.814824,949.8971956,cvhm
1984,8,237.1518104,638.032234,1349.838881,46.61523422,cvhm
1985,8,207.9357995,616.1429452,1438.889427,-270.5340816,cvhm
1986,8,192.9280087,563.4465091,1578.878157,315.7163505,cvhm
1987,8,199.9623021,742.6143918,1347.594541,-382.0018952,cvhm
1988,8,197.1881601,753.9643934,1386.829597,-368.7684661,cvhm
1989,8,195.2854195,722.3465318,1462.471922,-357.8153012,cvhm
1990,8,175.3011632,732.885819,1469.276385,-380.4522001,cvhm
1991,8,165.0102208,807.4715439,1323.540944,-320.0951683,cvhm
1992,8,156.5770495,776.6643967,1434.951906,-303.5128162,cvhm
1993,8,208.107292,777.4751111,1589.141822,321.5635585,cvhm
1994,8,186.0005856,872.328696,1440.768408,-464.3888477,cvhm
1995,8,225.610992,676.9465253,1543.833716,600.2216912,cvhm
1996,8,224.4391926,743.4251062,1575.550781,135.2965594,cvhm
1997,8,225.5272986,813.9572591,1383.315823,152.5129261,cvhm
1998,8,202.9560818,558.5822227,1656.593657,751.3257215,cvhm
1999,8,235.6431548,356.7143367,1147.533643,17.8142264,cvhm
2000,8,223.6902404,374.5500535,1273.294695,185.9478761,cvhm
2001,8,218.7959316,402.1143432,1309.065508,-217.9789016,cvhm
2002,8,263.6869138,414.2750592,1219.9087,-6.961686567,cvhm
2003,8,208.6407185,398.0607712,1298.551728,-28.60870733,cvhm
1975,9,101.0672755,314.5571878,1588.081729,82.46617182,cvhm
1976,9,83.26819749,534.2607906,1641.184649,-492.5524549,cvhm
1977,9,15.75514311,962.3179946,1721.387516,-459.6904053,cvhm
1978,9,84.56042277,474.2679249,1690.01747,941.9314724,cvhm
1979,9,87.98393742,421.5714888,1606.423804,49.52813045,cvhm
1980,9,112.7133669,231.0536044,1532.164842,526.1385761,cvhm
1981,9,62.79984793,396.4393423,1574.471043,-228.0963354,cvhm
1982,9,127.2531049,91.61072737,1507.280667,942.1925224,cvhm
1983,9,42.8032538,85.12501216,1401.881956,1210.818834,cvhm
1984,9,19.22059101,164.5750235,1443.137511,-280.7935925,cvhm
