region,shortage,shadow
17,163686.5138,167.7962524
17,204608.1423,289.2310278
17,245529.7707,351.8195267
17,286451.3992,707.7355431
17,327373.0276,897.7834372
17,368294.6561,1012.40633
17,409216.2845,1118.260521
17,450137.913,1352.461451
17,491059.5414,1579.723465
18,122633,136.8381247
18,245266,141.8081364
18,367899.001,195.4655467
18,490532.001,266.0031259
18,613165.001,292.2306562
18,735798.002,296.8114886
18,858431.002,317.1715862
18,981064.002,338.555075
18,1103697.003,380.8897989
18,1226330.003,422.8197742
18,1348963.004,498.344384
18,1471596.004,1078.946063
19,32081.739,259.9324793
19,64163.478,267.0587381
19,96245.217,274.9768033
19,128326.956,283.8264057
19,148973.6132,286.6076877
19,181055.3523,293.7822083
19,201702.0095,294.2392666
19,233783.7485,305.0654513
19,254430.4058,315.3647798
19,286512.1448,331.2700262
19,318593.8838,373.7496481
19,350675.6229,415.9648265
19,371322.2801,460.2108664
19,403404.0191,466.9617518
19,435485.7581,494.4482898
19,467567.4972,507.7017965
19,488214.1545,563.2196044
19,508860.8117,714.4067019
19,529507.469,820.4566289
19,550154.1262,883.4092922
19,570800.7835,927.4826618
19,591447.4407,966.3435676
19,612094.0979,1017.703203
19,632740.7552,1092.326247
20,37611.8045,231.8826748
20,75223.609,239.3241916
20,112835.4136,247.5925437
20,150447.2182,262.7704836
20,188059.0228,323.9423893
20,225670.8274,360.9278311
20,263282.632,510.3194106
20,300894.4366,748.7297945
20,338506.2412,901.6092868
20,376118.0458,1004.181279
20,413729.8504,1078.498752
20,451341.655,1177.564928
21,33480.0206,223.2772753
21,47928.2288,223.6029863
21,62376.437,229.4450915
21,95856.4576,229.5183862
21,110304.6658,235.9363196
21,143784.6864,236.4529538
21,158232.8946,243.1912216
21,172681.1028,251.3529863
21,187129.311,270.7111279
21,201577.5192,282.0045666
21,235057.5397,282.8417133
21,244672.9737,317.6569963
21,278152.9943,318.1976029
21,287768.4283,326.016391
21,321248.4489,327.7165802
21,354728.4694,328.7014614
21,364343.9035,335.3046072
21,373959.3375,345.6855548
21,383574.7715,357.3641209
21,393190.2055,370.5998291
21,407638.4137,374.5334814
21,441118.4343,384.6384605
21,450733.8684,385.7263527
21,460349.3024,403.1800338
21,469964.7364,423.5426618
21,503444.7569,427.5066861
21,513060.1909,447.6075857
21,546540.2115,463.3200285
21,556155.6456,476.4854945
21,589635.6662,493.0328778
21,623115.6867,507.7828631
21,632731.1207,511.7807163
21,647179.3289,542.1451003
21,661627.537,807.6740624
21,676075.7452,1043.454913
21,690523.9534,1220.43296
